FeatureID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM
S189,1498,Amino Acid,Lysine Metabolism,118,MXNRLFUSFKVQSK-UHFFFAOYSA-N,C[N+](C)(CCCCC(C([O-])=O)N)C,"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",23284-33-5,140379,HMDB0001325,C03793,440120
S192,37496,Amino Acid,Polyamine Metabolism,546,KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(NCCCCN)=O,N-acetylputrescine,N-acetylputrescine,18233-70-0,109095,HMDB0002064,C02714,122356
S194,2829,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",443,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,CSCCC(C(O)=O)NC=O,N-formylmethionine,N-formylmethionine,4289-98-9,388809,HMDB0001015,C03145,439750
S197,42382,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",452,ZJUKTBDSGOFHSH-UHFFFAOYSA-N,OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O,S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),979-92-0,16788012,HMDB0000939,C00021,439155
S2029,18362,Lipid,"Fatty Acid, Dicarboxylate",1696,BDJRBEYXGGNYIS-UHFFFAOYSA-N,O=C(O)CCCCCCCC(O)=O,azelate (C9-DC),azelate (C9-DC),123-99-9,2179,HMDB0000784,C08261,2266
S2050,18467,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1577,JAZBEHYOTPTENJ-JLNKQSITSA-N,O=C(O)CCC\C=C/C/C=C\C/C=C\C/C=C\C/C=C\CC,eicosapentaenoate (EPA; 20:5n3),eicosapentaenoate (EPA; 20:5n3),"10-2005-9,10417-94-4",393682,HMDB0001999,C06428,446284
S2051,15745,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",415,WXUAQHNMJWJLTG-UHFFFAOYSA-N,CC(C(O)=O)CC(O)=O,methylsuccinate,methylsuccinate,498-21-5,9922,HMDB0001844,,10349
S2054,15765,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",412,UKFXDFUAPNAMPJ-UHFFFAOYSA-N,CCC(C(O)=O)C(O)=O,ethylmalonate,ethylmalonate,601-75-2,11263,HMDB0000622,,11756
S209,32342,Nucleotide,"Purine Metabolism, Adenine containing",4158,UDMBCSSLTHHNCD-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,adenosine 5'-monophosphate (AMP),AMP,149022-20-8,10239183,HMDB0000045,C00020,6083
S212,1419,Amino Acid,Polyamine Metabolism,564,WUUGFSXJNOTRMR-IOSLPCCCSA-N,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,5-methylthioadenosine (MTA),5-methylthioadenosine (MTA),2457-80-9,388321,HMDB0001173,C00170,439176
S213,37114,Nucleotide,"Purine Metabolism, Adenine containing",4173,VQAYFKKCNSOZKM-UHFFFAOYSA-N,OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3,N6-methyladenosine,N6-methyladenosine,1867-73-8,92307,HMDB0004044,,102175
S218,33434,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4153,NUCLJNSWZCHRKL-UHFFFAOYSA-N,OC(C(NC(N)=O)NC(N)=O)=O,allantoic acid,allantoic acid,99-16-1,198,HMDB0001209,C00499,203
S229,1110,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1590,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,arachidonate (20:4n6),arachidonate (20:4n6),506-32-1,392692,HMDB0001043,C00219,444899
S231,1638,Amino Acid,Urea cycle; Arginine and Proline Metabolism,490,ODKSFYDXXFIFQN-UHFFFAOYSA-N,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,1119-34-2,227,HMDB0000517,C00062,6322
S232,15497,Amino Acid,Urea cycle; Arginine and Proline Metabolism,491,KDZOASGQNOPSCU-UHFFFAOYSA-N,NC(C(O)=O)CCCNC(NC(C(O)=O)CC(O)=O)=N,argininosuccinate,argininosuccinate,156637-58-0,805,HMDB0000052,C03406,60150382
S234,443,Amino Acid,Alanine and Aspartate Metabolism,36,CKLJMWTZIZZHCS-UHFFFAOYSA-N,NC(C(O)=O)CC(O)=O,aspartate,aspartate,56-84-8,5745,HMDB0000191,C00049,5960
S235,1432,Amino Acid,Phenylalanine Metabolism,161,CCVYRRGZDBSHFU-UHFFFAOYSA-N,OC(CC1=C(O)C=CC=C1)=O,2-hydroxyphenylacetate,2-hydroxyphenylacetate,614-75-5,11476,HMDB0000669,C05852,11970
S240,32197,Amino Acid,Tyrosine Metabolism,186,JVGVDSSUAVXRDY-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=C(O)C=C1,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate (HPLA),6482-98-0,9010,HMDB0000755,C03672,9378
S241,566,Amino Acid,Phenylalanine Metabolism,155,BTNMPGBKDVTSJY-UHFFFAOYSA-N,O=C(C(O)=O)CC1=CC=CC=C1,phenylpyruvate,phenylpyruvate,156-06-9,972,HMDB0000205,C00166,997
S244,55,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4258,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(O)=O,beta-alanine,beta-alanine,"107-95-9,56-41-7",234,HMDB0000056,C00099,239
S249,1768,Amino Acid,Histidine Metabolism,86,CQOVPNPJLQNMDC-ZETCQYMHSA-N,OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O,carnosine,carnosine,305-84-0,388363,HMDB0000033,C00386,439224
S250,2137,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4431,QBUVFDKTZJNUPP-YBRAVLHJSA-N,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,biliverdin,biliverdin,"55482-27-4,55482-27-4",10628548,HMDB0001008,C00500,5280353
S252,1437,Energy,TCA Cycle,1465,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(CCC(O)=O)=O,succinate,succinate,110-15-6,1078,HMDB0000254,C00042,1110
S254,542,Lipid,Ketone Bodies,1955,WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(O)CC(O)=O,3-hydroxybutyrate (BHBA),3-hydroxybutyrate (BHBA),625-72-9,428,"HMDB0000442,HMDB0000357,HMDB0000011","C03197,C01089","94318,441,92135"
S266,63,Lipid,Sterol,3211,HVYWMOMLDIMFJA-LBHVWCRMSA-N,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,cholesterol,cholesterol,57-88-5,4937803,HMDB0000067,C00187,"5997,6432564,11025495"
