FeatureID,LIB_ID,COMP_ID,SUPER_PATHWAY,SUB_PATHWAY,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
F100001718,209,35892,Xenobiotics,Benzoate Metabolism,NAMED,IBHWREHFNDMRPR-UHFFFAOYSA-N,O=C(O)C1=C(O)C=C(O)C=C1O,"2,4,6-trihydroxybenzoate",83-30-7,59891,HMDB0029649,,66520,Neg
F100001721,305,36751,Amino Acid,Lysine Metabolism,NAMED,VEYYWZRYIYDQJM-ZETCQYMHSA-N,OC([C@H](CCCCN)NC(C)=O)=O,N2-acetyllysine,1946-82-3,83869,HMDB0000446,C12989,92907,Polar
F100001725,209,36774,Xenobiotics,Food Component/Plant,NAMED,ADFCQWZHKCXPAJ-UHFFFAOYSA-N,OC1=CC=C2C(OCC(C3=CC=C(O)C=C3)C2)=C1,equol,"94105-90-5,531-95-3",339332,HMDB0002209,C14131,91469,Neg
F100001730,305,62952,Lipid,"Fatty Acid, Dihydroxy",NAMED,DZAIOXUZHHTJKN-UHFFFAOYSA-N,O=C(CC(CO)O)O,"3,4-dihydroxybutyrate",51267-44-8,,HMDB0000337,,150929,Polar
F100001734,305,36752,Amino Acid,Lysine Metabolism,NAMED,DTERQYGMUDWYAZ-ZETCQYMHSA-N,N[C@@H](CCCCNC(C)=O)C(O)=O,N6-acetyllysine,692-04-6,83801,HMDB0000206,C02727,92832,Polar
F100001739,209,35718,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),NAMED,AHANXAKGNAKFSK-PDBXOOCHSA-N,CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(O)=O,dihomo-linolenate (20:3n3 or n6),17046-59-2,4471954,HMDB0002925,C03242,5280581,Neg
F100001740,305,46142,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",NAMED,FBPFZTCFMRRESA-UHFFFAOYSA-N,OCC(O)C(O)C(O)C(O)CO,mannitol/sorbitol,,440,"HMDB0000247,HMDB0000765","C00392,C00794","57,806,251",Polar
F100001743,400,37097,Amino Acid,Tryptophan Metabolism,NAMED,AOHCBEAZXHZMOR-ZDUSSCGKSA-N,O=C([O-])[C@@H]([N@+](C)(C)C)CC1=CNC2=C1C=CC=C2,tryptophan betaine,20671-76-5,390633,HMDB0061115,C09213,442106,Pos Early
F100001755,209,36098,Xenobiotics,Benzoate Metabolism,NAMED,IETVQHUKTKKBFF-UHFFFAOYSA-N,O=S(OC1=CC=C(C=C)C=C1)(O)=O,4-vinylphenol sulfate,2628-17-3,4932200,HMDB0062775,C05627,6426766,Neg
F100001756,209,36099,Xenobiotics,Benzoate Metabolism,NAMED,DWZGLEPNCRFCEP-UHFFFAOYSA-N,O=S(OC1=CC=C(CC)C=C1)(O)=O,4-ethylphenylsulfate,123-07-9,,HMDB0062551,C13637,20822574,Neg
F100001767,209,48428,Xenobiotics,Food Component/Plant,NAMED,VTYFITADLSVOAS-UHFFFAOYSA-N,NC(C(O)=O)CCCCN1C(C=O)=CC=C1CO,pyrraline,74509-14-1,19980286,HMDB0033143,C21013,14274616,Neg
F100001768,400,36713,Carbohydrate,Advanced Glycation End-product,NAMED,NUXSIDPKKIEIMI-UHFFFAOYSA-N,OC(CNCCCCC(C(O)=O)N)=O,N6-carboxymethyllysine,4/3/46,11217184,HMDB0240347,,123800,Pos Early
F100001769,209,37458,Amino Acid,Lysine Metabolism,NAMED,XCYPSOHOIAZISD-UHFFFAOYSA-N,OC(C(C)NCCCCC(C(O)=O)N)=O,N6-carboxyethyllysine,3/2/46,11312319,,,23400779,Neg
F100001777,209,36602,Lipid,Lysophospholipid,NAMED,UGDOFRYHDCDVHD-JCASDCETSA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCC/C=C\CCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-oleoyl-GPI (18:1),,,HMDB0061693,,86289645,Neg
F100001778,209,36594,Lipid,Lysophospholipid,NAMED,SAHCQBPGXQFTRA-WNOZMNFTSA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-linoleoyl-GPI (18:2)*,,,HMDB0240597,,11124828,Neg
F100001790,400,36659,Peptide,Dipeptide,NAMED,KGVHCTWYMPWEGN-MSZQBOFLSA-N,OC([C@@H](NC(CN)=O)C(C)CC)=O,glycylisoleucine,19461-38-2,19972556,HMDB0028844,,259613,Pos Early
F100001805,400,37070,Nucleotide,Purine and Pyrimidine Metabolism,NAMED,CAAULPUQFIIOTL-UHFFFAOYSA-N,O=P(O)(O)OC,methylphosphate,7023-27-0,12578,HMDB61711,,13130,Pos Early
F100001810,400,36808,Amino Acid,Urea cycle; Arginine and Proline Metabolism,NAMED,YDGMGEXADBMOMJ-LURJTMIESA-N,N[C@@H](CCCNC(N(C)C)=N)C(O)=O,dimethylarginine (SDMA + ADMA),102783-24-4,110375,"HMDB0003334,HMDB0001539","C21189,C03626","123,831,169,148",Pos Early
