Analysis,CatID,GroupCode,_Imputation_,SDF1_Observed,SDF1
Group-only PMM,10,C,5,59.34,59.34
Group-only PMM,23,C,5,452.94,452.94
Group-only PMM,16,C,5,173.83,173.83
Group-only PMM,20,C,5,908.79,908.79
Group-only PMM,18,D,6,686.49,686.49
Group-only PMM,4,C,6,1041.31,1041.31
Group-only PMM,19,D,6,1412.35,1412.35
Group-only PMM,26,D,6,1205.1,1205.1
Group-only PMM,17,C,6,253.24,253.24
Group-only PMM,22,C,6,400.74,400.74
Group-only PMM,5,C,6,708.48,708.48
Group-only PMM,14,C,6,1387.6,1387.6
Group-only PMM,28,C,6,356.3,356.3
Group-only PMM,12,C,6,762.73,762.73
Group-only PMM,15,C,6,1318.05,1318.05
Group-only PMM,29,C,6,518.66,518.66
Group-only PMM,27,D,6,,1412.35
Group-only PMM,21,D,6,942.41,942.41
Group-only PMM,25,C,6,1076.91,1076.91
Group-only PMM,13,C,6,693.81,693.81
Group-only PMM,9,C,6,730.21,730.21
Group-only PMM,3,D,6,410.73,410.73
Group-only PMM,24,D,6,1793.84,1793.84
Group-only PMM,8,C,6,,253.24
Group-only PMM,6,C,6,59.34,59.34
Group-only PMM,11,C,6,745.5,745.5
Group-only PMM,2,D,6,1794.45,1794.45
Group-only PMM,7,C,6,547.82,547.82
Group-only PMM,1,C,6,617.83,617.83
Group-only PMM,10,C,6,59.34,59.34
Group-only PMM,23,C,6,452.94,452.94
Group-only PMM,16,C,6,173.83,173.83
Group-only PMM,20,C,6,908.79,908.79
Group-only PMM,18,D,7,686.49,686.49
Group-only PMM,4,C,7,1041.31,1041.31
Group-only PMM,19,D,7,1412.35,1412.35
Group-only PMM,26,D,7,1205.1,1205.1
Group-only PMM,17,C,7,253.24,253.24
Group-only PMM,22,C,7,400.74,400.74
Group-only PMM,5,C,7,708.48,708.48
Group-only PMM,14,C,7,1387.6,1387.6
Group-only PMM,28,C,7,356.3,356.3
Group-only PMM,12,C,7,762.73,762.73
Group-only PMM,15,C,7,1318.05,1318.05
Group-only PMM,29,C,7,518.66,518.66
Group-only PMM,27,D,7,,942.41
Group-only PMM,21,D,7,942.41,942.41
Group-only PMM,25,C,7,1076.91,1076.91
Group-only PMM,13,C,7,693.81,693.81
Group-only PMM,9,C,7,730.21,730.21
Group-only PMM,3,D,7,410.73,410.73
Group-only PMM,24,D,7,1793.84,1793.84
Group-only PMM,8,C,7,,708.48
Group-only PMM,6,C,7,59.34,59.34
Group-only PMM,11,C,7,745.5,745.5
Group-only PMM,2,D,7,1794.45,1794.45
Group-only PMM,7,C,7,547.82,547.82
Group-only PMM,1,C,7,617.83,617.83
Group-only PMM,10,C,7,59.34,59.34
Group-only PMM,23,C,7,452.94,452.94
Group-only PMM,16,C,7,173.83,173.83
Group-only PMM,20,C,7,908.79,908.79
Group-only PMM,18,D,8,686.49,686.49
Group-only PMM,4,C,8,1041.31,1041.31
Group-only PMM,19,D,8,1412.35,1412.35
Group-only PMM,26,D,8,1205.1,1205.1
Group-only PMM,17,C,8,253.24,253.24
Group-only PMM,22,C,8,400.74,400.74
Group-only PMM,5,C,8,708.48,708.48
Group-only PMM,14,C,8,1387.6,1387.6
Group-only PMM,28,C,8,356.3,356.3
Group-only PMM,12,C,8,762.73,762.73
Group-only PMM,15,C,8,1318.05,1318.05
Group-only PMM,29,C,8,518.66,518.66
Group-only PMM,27,D,8,,1412.35
Group-only PMM,21,D,8,942.41,942.41
Group-only PMM,25,C,8,1076.91,1076.91
Group-only PMM,13,C,8,693.81,693.81
Group-only PMM,9,C,8,730.21,730.21
Group-only PMM,3,D,8,410.73,410.73
Group-only PMM,24,D,8,1793.84,1793.84
Group-only PMM,8,C,8,,1387.6
Group-only PMM,6,C,8,59.34,59.34
Group-only PMM,11,C,8,745.5,745.5
Group-only PMM,2,D,8,1794.45,1794.45
Group-only PMM,7,C,8,547.82,547.82
Group-only PMM,1,C,8,617.83,617.83
Group-only PMM,10,C,8,59.34,59.34
Group-only PMM,23,C,8,452.94,452.94
Group-only PMM,16,C,8,173.83,173.83
Group-only PMM,20,C,8,908.79,908.79
Group-only PMM,18,D,9,686.49,686.49
Group-only PMM,4,C,9,1041.31,1041.31
Group-only PMM,19,D,9,1412.35,1412.35
Group-only PMM,26,D,9,1205.1,1205.1
Group-only PMM,17,C,9,253.24,253.24
Group-only PMM,22,C,9,400.74,400.74
Group-only PMM,5,C,9,708.48,708.48
Group-only PMM,14,C,9,1387.6,1387.6
Group-only PMM,28,C,9,356.3,356.3
Group-only PMM,12,C,9,762.73,762.73
Group-only PMM,15,C,9,1318.05,1318.05
Group-only PMM,29,C,9,518.66,518.66
Group-only PMM,27,D,9,,410.73
Group-only PMM,21,D,9,942.41,942.41
Group-only PMM,25,C,9,1076.91,1076.91
Group-only PMM,13,C,9,693.81,693.81
Group-only PMM,9,C,9,730.21,730.21
Group-only PMM,3,D,9,410.73,410.73
Group-only PMM,24,D,9,1793.84,1793.84
Group-only PMM,8,C,9,,253.24
Group-only PMM,6,C,9,59.34,59.34
Group-only PMM,11,C,9,745.5,745.5
Group-only PMM,2,D,9,1794.45,1794.45
Group-only PMM,7,C,9,547.82,547.82
Group-only PMM,1,C,9,617.83,617.83
