CatID,Group,FAS,Flt3L,GM_CSF,IFNg,IL1b,IL2,PGDF_BB,IL12p40,IL13,IL4,IL6,IL8,KC,SDF1,RANTES,SCF,MCP1,TNFa,IL18,FAS_censored_flag,FAS_original,GM_CSF_censored_flag,GM_CSF_original,IFNg_censored_flag,IFNg_original,IL1b_censored_flag,IL1b_original,IL2_censored_flag,IL2_original,PGDF_BB_censored_flag,PGDF_BB_original,IL4_censored_flag,IL4_original,IL6_censored_flag,IL6_original,KC_censored_flag,KC_original,TNFa_censored_flag,TNFa_original,IL18_censored_flag,IL18_original,SDF1_censored_flag
24,D,2.73,47.43,1.4792673887,4.63,4.8656017695,2.0159614365,303.98,128.96,3.43,7.1410713952,7.4988674271,5.23,0.2750645383,1793.84,7.19,67.29,637.41,31.136032948,14.620846939,0,2.73,1,1.55,0,4.63,1,4.22,1,2.26,0,303.98,1,,1,3.35,1,,1,,1,15.34,0
8,C,1.4333054479,38.16,5.28,22.24,29.46,10.64,416.17,143.31,7.86,47.85,105.96,15.61,4.42,685.9058,12.61,93.33,1219.46,31.136032948,148.03,1,,0,5.28,0,22.24,0,29.46,0,10.64,0,416.17,0,47.85,0,105.96,0,4.42,1,15.77,0,148.03,1
6,C,3.02,33.73,14.61,105.18,30.33,16.25,58.76,77.56,56.21,439.6,277.33,32.4,0.2750645383,59.34,12.14,98.48,2891.8,64.09,459.85,0,3.02,0,14.61,0,105.18,0,30.33,0,16.25,0,58.76,0,439.6,0,277.33,1,,0,64.09,0,459.85,0
11,C,7.26,14.7,10.94,45.43,11.55,25.11,613.6,28.2,38.35,161.05,77.89,15.79,1.94,745.5,7.1,41.71,1970.85,31.136032948,127.32,0,7.26,0,10.94,0,45.43,0,11.55,0,25.11,0,613.6,0,161.05,0,77.89,0,1.94,1,,0,127.32,0
2,D,2.43,33.39,10.94,27.68,4.8656017695,5.84,442.57,113,55.24,121.98,97,18.04,0.2750645383,1794.45,13.4,155.88,1646,31.136032948,85.89,0,2.43,0,10.94,0,27.68,1,6.18,0,5.84,0,442.57,0,121.98,0,97,1,0.35,1,12.73,0,85.89,0
7,C,7.02,36.37,8.7,103.16,23.91,9.63,2376.81,117.9,44.88,299.15,423.85,21.85,1.59,547.82,19.85,107.44,2365.78,31.136032948,111.35,0,7.02,0,8.7,0,103.16,0,23.91,0,9.63,0,2376.81,0,299.15,0,423.85,0,1.59,1,42.72,0,111.35,0
1,C,1.4333054479,45.85,1.4792673887,15.86,4.8656017695,3.32,205.78,93.6,4.92,18.33,7.4988674271,4.75,0.2750645383,617.83,11.86,109.15,999.89,31.136032948,14.620846939,1,0.19,1,0.72,0,15.86,1,1.91,0,3.32,0,205.78,0,18.33,1,3.35,1,0.13,1,,1,5.53,0
10,C,1.4333054479,52.89,1.4792673887,23.6,4.8656017695,3.32,64.55,165.1,7.86,7.1410713952,24.29,8.3,0.2750645383,59.34,9.71,80.32,1372.32,31.136032948,125.13,1,0.85,1,1.29,0,23.6,1,2.5,0,3.32,0,64.55,1,8.26,0,24.29,1,0.06,1,,0,125.13,0
23,C,6.19,38.16,12.33,105.52,16.08,18.89,370.79,94.96,45.35,376.18,199.88,19.4,0.2750645383,452.94,9.9,75.73,2698.42,71.96,319.99,0,6.19,0,12.33,0,105.52,0,16.08,0,18.89,0,370.79,0,376.18,0,199.88,1,,0,71.96,0,319.99,0
16,C,1.4333054479,42.01,2.48,33.95,17.02,2.0159614365,33.771419926,248.47,26.57,1575.47,52.6,13.14,3.1,173.83,11.44,79.03,1676.01,31.136032948,40.4,1,,0,2.48,0,33.95,0,17.02,1,1.59,1,41.38,0,1575.47,0,52.6,0,3.1,1,,0,40.4,0
20,C,1.4333054479,30.05,1.4792673887,40.33,9.91,2.0159614365,466.07,229.37,8.69,115.21,188.67,17.45,0.2750645383,908.79,21.01,109.36,1779.37,31.136032948,14.620846939,1,1.51,1,1,0,40.33,0,9.91,1,,0,466.07,0,115.21,0,188.67,1,,1,6.07,1,15.34,0
