CatID,Group,FAS,Flt3L,GM_CSF,IFNg,IL1b,IL2,PGDF_BB,IL12p40,IL13,IL4,IL6,IL8,KC,SDF1_original,RANTES,SCF,MCP1,TNFa,IL18,FAS_censored_flag,FAS_original,GM_CSF_censored_flag,GM_CSF_original,IFNg_censored_flag,IFNg_original,IL1b_censored_flag,IL1b_original,IL2_censored_flag,IL2_original,PGDF_BB_censored_flag,PGDF_BB_original,IL4_censored_flag,IL4_original,IL6_censored_flag,IL6_original,KC_censored_flag,KC_original,TNFa_censored_flag,TNFa_original,IL18_censored_flag,IL18_original,_Imputation_,SDF1,SDF1_censored_flag
11,C,7.26,14.7,10.94,45.43,11.55,25.11,613.6,28.2,38.35,161.05,77.89,15.79,1.94,745.5,7.1,41.71,1970.85,31.136032948,127.32,0,7.26,0,10.94,0,45.43,0,11.55,0,25.11,0,613.6,0,161.05,0,77.89,0,1.94,1,,0,127.32,1,745.5,0
1,C,1.4333054479,45.85,1.4792673887,15.86,4.8656017695,3.32,205.78,93.6,4.92,18.33,7.4988674271,4.75,0.2750645383,617.83,11.86,109.15,999.89,31.136032948,14.620846939,1,0.19,1,0.72,0,15.86,1,1.91,0,3.32,0,205.78,0,18.33,1,3.35,1,0.13,1,,1,5.53,1,617.83,0
10,C,1.4333054479,52.89,1.4792673887,23.6,4.8656017695,3.32,64.55,165.1,7.86,7.1410713952,24.29,8.3,0.2750645383,59.34,9.71,80.32,1372.32,31.136032948,125.13,1,0.85,1,1.29,0,23.6,1,2.5,0,3.32,0,64.55,1,8.26,0,24.29,1,0.06,1,,0,125.13,1,59.34,0
23,C,6.19,38.16,12.33,105.52,16.08,18.89,370.79,94.96,45.35,376.18,199.88,19.4,0.2750645383,452.94,9.9,75.73,2698.42,71.96,319.99,0,6.19,0,12.33,0,105.52,0,16.08,0,18.89,0,370.79,0,376.18,0,199.88,1,,0,71.96,0,319.99,1,452.94,0
16,C,1.4333054479,42.01,2.48,33.95,17.02,2.0159614365,33.771419926,248.47,26.57,1575.47,52.6,13.14,3.1,173.83,11.44,79.03,1676.01,31.136032948,40.4,1,,0,2.48,0,33.95,0,17.02,1,1.59,1,41.38,0,1575.47,0,52.6,0,3.1,1,,0,40.4,1,173.83,0
20,C,1.4333054479,30.05,1.4792673887,40.33,9.91,2.0159614365,466.07,229.37,8.69,115.21,188.67,17.45,0.2750645383,908.79,21.01,109.36,1779.37,31.136032948,14.620846939,1,1.51,1,1,0,40.33,0,9.91,1,,0,466.07,0,115.21,0,188.67,1,,1,6.07,1,15.34,1,908.79,0
7,C,7.02,36.37,8.7,103.16,23.91,9.63,2376.81,117.9,44.88,299.15,423.85,21.85,1.59,547.82,19.85,107.44,2365.78,31.136032948,111.35,0,7.02,0,8.7,0,103.16,0,23.91,0,9.63,0,2376.81,0,299.15,0,423.85,0,1.59,1,42.72,0,111.35,1,547.82,0
17,C,1.4333054479,36.13,1.4792673887,28.87,4.8656017695,2.0159614365,375,328.67,6.67,67.24,38,9.58,0.2750645383,253.24,19.66,52.44,1476.81,31.136032948,99.83,1,,1,1.57,0,28.87,1,4.22,1,2.26,0,375,0,67.24,0,38,1,,1,,0,99.83,1,253.24,0
19,D,6.04,41.65,11.97,38.25,17.77,12.56,462.14,367.13,47.99,138.28,157.62,45.47,14.85,1412.35,16.67,114.01,1717.19,31.136032948,115.95,0,6.04,0,11.97,0,38.25,0,17.77,0,12.56,0,462.14,0,138.28,0,157.62,0,14.85,1,,0,115.95,1,1412.35,0
26,D,1.4333054479,34.57,1.4792673887,3.031366776,4.8656017695,2.0159614365,289.48,78.54,3.51,7.1410713952,7.4988674271,3.34,0.2750645383,1205.1,5.41,42.87,429.91,31.136032948,14.620846939,1,0.53,1,1.14,1,2.56,1,3.44,1,2.26,0,289.48,1,,1,,1,0.13,1,,1,10.47,1,1205.1,0
24,D,2.73,47.43,1.4792673887,4.63,4.8656017695,2.0159614365,303.98,128.96,3.43,7.1410713952,7.4988674271,5.23,0.2750645383,1793.84,7.19,67.29,637.41,31.136032948,14.620846939,0,2.73,1,1.55,0,4.63,1,4.22,1,2.26,0,303.98,1,,1,3.35,1,,1,,1,15.34,1,1793.84,0
2,D,2.43,33.39,10.94,27.68,4.8656017695,5.84,442.57,113,55.24,121.98,97,18.04,0.2750645383,1794.45,13.4,155.88,1646,31.136032948,85.89,0,2.43,0,10.94,0,27.68,1,6.18,0,5.84,0,442.57,0,121.98,0,97,1,0.35,1,12.73,0,85.89,1,1794.45,0
27,D,3.18,39.04,10.77,39.75,11.21,4.37,33.771419926,120.23,52.23,108.39,71.95,21.66,2.37,,10.7,86.65,1732.97,31.136032948,41.59,0,3.18,0,10.77,0,39.75,0,11.21,0,4.37,1,26.9,0,108.39,0,71.95,0,2.37,1,,0,41.59,1,617.83,1
21,D,1.4333054479,53.28,1.4792673887,43.07,7.73,4.78,620.11,189.77,9.05,119.29,33.75,19.62,0.47,942.41,18.21,122.84,1876.02,31.136032948,27.36,1,1.5,1,0.43,0,43.07,0,7.73,0,4.78,0,620.11,0,119.29,0,33.75,0,0.47,1,,0,27.36,1,942.41,0
18,D,1.4333054479,41.53,1.4792673887,6.41,4.8656017695,3.32,33.771419926,144.93,5.17,7.1410713952,7.4988674271,6.01,2.37,686.49,7.03,140.91,697.71,31.136032948,14.620846939,1,,1,0.43,0,6.41,1,2.13,0,3.32,1,29.79,1,,1,8.61,0,2.37,1,,1,1.6,1,686.49,0
3,D,3.91,11.79,7.92,60.9,7.01,9.63,33.771419926,47.19,33.27,122.01,68.01,19.15,0.2750645383,410.73,6.97,31.09,2058.43,31.136032948,184.5,0,3.91,0,7.92,0,60.9,0,7.01,0,9.63,1,18.21,0,122.01,0,68.01,1,0.21,1,,0,184.5,1,410.73,0
4,C,7.58,13.47,16.45,69.73,17.76,20.91,70.31,41.07,47.32,220.43,115.36,21.03,4.98,1041.31,6.77,49.45,2436.06,31.136032948,110.2,0,7.58,0,16.45,0,69.73,0,17.76,0,20.91,0,70.31,0,220.43,0,115.36,0,4.98,1,,0,110.2,2,1041.31,0
22,C,1.4333054479,46.11,1.4792673887,20.86,4.8656017695,2.0159614365,363.68,78.61,5.17,28.26,7.4988674271,9.16,0.2750645383,400.74,13.73,80.54,1157.16,31.136032948,49.82,1,,1,,0,20.86,1,2.5,1,1.25,0,363.68,0,28.26,1,7.72,1,0.13,1,,0,49.82,2,400.74,0
5,C,1.4333054479,56.07,4.77,55.55,18.98,8.47,376.27,219.48,34.51,162.62,89.46,16.32,2.27,708.48,10.7,214.75,1650.97,31.136032948,95.21,1,1.65,0,4.77,0,55.55,0,18.98,0,8.47,0,376.27,0,162.62,0,89.46,0,2.27,1,18.84,0,95.21,2,708.48,0
14,C,32.72,19.35,5.82,122.94,37.99,84.35,327.37,37.55,46.76,560.51,254.78,36.64,0.2750645383,1387.6,12.22,100.34,3221.84,74.87,760.84,0,32.72,0,5.82,0,122.94,0,37.99,0,84.35,0,327.37,0,560.51,0,254.78,1,,0,74.87,0,760.84,2,1387.6,0
28,C,2.43,66.7,1.4792673887,22.91,4.8656017695,2.0159614365,91.49,223.66,6.67,33.89,7.4988674271,9.37,1.68,356.3,9.81,84.91,1313.01,31.136032948,14.620846939,0,2.43,1,0.72,0,22.91,1,1.81,1,1.59,0,91.49,0,33.89,1,9.47,0,1.68,1,,1,17.77,2,356.3,0
12,C,1.4333054479,48.94,1.4792673887,31.09,4.8656017695,4.78,471.47,153.55,9.95,50.62,17.45,7.4,5.21,762.73,15.58,59.24,1417.89,31.136032948,98.65,1,1.5,1,1,0,31.09,1,5.44,0,4.78,0,471.47,0,50.62,0,17.45,0,5.21,1,,0,98.65,2,762.73,0
15,C,2.73,31.81,6.18,21.85,4.8656017695,15.92,572.1,59.25,45.94,135.58,40.86,13.19,5.09,1318.05,11.81,57.68,1272.53,31.136032948,141.12,0,2.73,0,6.18,0,21.85,1,6.24,0,15.92,0,572.1,0,135.58,0,40.86,0,5.09,1,,0,141.12,2,1318.05,0
29,C,14.84,45.84,34.07,140.34,33.18,13.46,290.53,112.03,69.8,686.61,368.62,39.03,3.17,518.66,11.91,151.64,3003.99,172.49,388.32,0,14.84,0,34.07,0,140.34,0,33.18,0,13.46,0,290.53,0,686.61,0,368.62,0,3.17,0,172.49,0,388.32,2,518.66,0
25,C,1.4333054479,33.36,1.4792673887,4.36,4.8656017695,5.27,767.23,196.93,5.79,86.51,7.4988674271,15.52,0.2750645383,1076.91,13.58,143.01,782.95,31.136032948,14.620846939,1,,1,1,0,4.36,1,2.16,0,5.27,0,767.23,0,86.51,1,,1,,1,,1,1.6,2,1076.91,0
13,C,1.4333054479,27.07,1.4792673887,39.43,4.8656017695,10.64,129.37,52.3,19.49,56.19,31.96,7.97,0.2750645383,693.81,4.73,60.59,1589.65,31.136032948,208.34,1,0.19,1,1.55,0,39.43,1,5.46,0,10.64,0,129.37,0,56.19,0,31.96,1,,1,,0,208.34,2,693.81,0
9,C,1.4333054479,62,1.4792673887,16.58,4.8656017695,2.0159614365,33.771419926,65.73,6.91,16.88,7.4988674271,4.99,0.2750645383,730.21,3.49,86.14,1157.16,31.136032948,14.620846939,1,,1,,0,16.58,1,1.99,1,1.59,1,,0,16.88,1,,1,,1,,1,15.35,2,730.21,0
8,C,1.4333054479,38.16,5.28,22.24,29.46,10.64,416.17,143.31,7.86,47.85,105.96,15.61,4.42,,12.61,93.33,1219.46,31.136032948,148.03,1,,0,5.28,0,22.24,0,29.46,0,10.64,0,416.17,0,47.85,0,105.96,0,4.42,1,15.77,0,148.03,2,518.66,1
6,C,3.02,33.73,14.61,105.18,30.33,16.25,58.76,77.56,56.21,439.6,277.33,32.4,0.2750645383,59.34,12.14,98.48,2891.8,64.09,459.85,0,3.02,0,14.61,0,105.18,0,30.33,0,16.25,0,58.76,0,439.6,0,277.33,1,,0,64.09,0,459.85,2,59.34,0
11,C,7.26,14.7,10.94,45.43,11.55,25.11,613.6,28.2,38.35,161.05,77.89,15.79,1.94,745.5,7.1,41.71,1970.85,31.136032948,127.32,0,7.26,0,10.94,0,45.43,0,11.55,0,25.11,0,613.6,0,161.05,0,77.89,0,1.94,1,,0,127.32,2,745.5,0
1,C,1.4333054479,45.85,1.4792673887,15.86,4.8656017695,3.32,205.78,93.6,4.92,18.33,7.4988674271,4.75,0.2750645383,617.83,11.86,109.15,999.89,31.136032948,14.620846939,1,0.19,1,0.72,0,15.86,1,1.91,0,3.32,0,205.78,0,18.33,1,3.35,1,0.13,1,,1,5.53,2,617.83,0
10,C,1.4333054479,52.89,1.4792673887,23.6,4.8656017695,3.32,64.55,165.1,7.86,7.1410713952,24.29,8.3,0.2750645383,59.34,9.71,80.32,1372.32,31.136032948,125.13,1,0.85,1,1.29,0,23.6,1,2.5,0,3.32,0,64.55,1,8.26,0,24.29,1,0.06,1,,0,125.13,2,59.34,0
23,C,6.19,38.16,12.33,105.52,16.08,18.89,370.79,94.96,45.35,376.18,199.88,19.4,0.2750645383,452.94,9.9,75.73,2698.42,71.96,319.99,0,6.19,0,12.33,0,105.52,0,16.08,0,18.89,0,370.79,0,376.18,0,199.88,1,,0,71.96,0,319.99,2,452.94,0
16,C,1.4333054479,42.01,2.48,33.95,17.02,2.0159614365,33.771419926,248.47,26.57,1575.47,52.6,13.14,3.1,173.83,11.44,79.03,1676.01,31.136032948,40.4,1,,0,2.48,0,33.95,0,17.02,1,1.59,1,41.38,0,1575.47,0,52.6,0,3.1,1,,0,40.4,2,173.83,0
20,C,1.4333054479,30.05,1.4792673887,40.33,9.91,2.0159614365,466.07,229.37,8.69,115.21,188.67,17.45,0.2750645383,908.79,21.01,109.36,1779.37,31.136032948,14.620846939,1,1.51,1,1,0,40.33,0,9.91,1,,0,466.07,0,115.21,0,188.67,1,,1,6.07,1,15.34,2,908.79,0
7,C,7.02,36.37,8.7,103.16,23.91,9.63,2376.81,117.9,44.88,299.15,423.85,21.85,1.59,547.82,19.85,107.44,2365.78,31.136032948,111.35,0,7.02,0,8.7,0,103.16,0,23.91,0,9.63,0,2376.81,0,299.15,0,423.85,0,1.59,1,42.72,0,111.35,2,547.82,0
17,C,1.4333054479,36.13,1.4792673887,28.87,4.8656017695,2.0159614365,375,328.67,6.67,67.24,38,9.58,0.2750645383,253.24,19.66,52.44,1476.81,31.136032948,99.83,1,,1,1.57,0,28.87,1,4.22,1,2.26,0,375,0,67.24,0,38,1,,1,,0,99.83,2,253.24,0
19,D,6.04,41.65,11.97,38.25,17.77,12.56,462.14,367.13,47.99,138.28,157.62,45.47,14.85,1412.35,16.67,114.01,1717.19,31.136032948,115.95,0,6.04,0,11.97,0,38.25,0,17.77,0,12.56,0,462.14,0,138.28,0,157.62,0,14.85,1,,0,115.95,2,1412.35,0
26,D,1.4333054479,34.57,1.4792673887,3.031366776,4.8656017695,2.0159614365,289.48,78.54,3.51,7.1410713952,7.4988674271,3.34,0.2750645383,1205.1,5.41,42.87,429.91,31.136032948,14.620846939,1,0.53,1,1.14,1,2.56,1,3.44,1,2.26,0,289.48,1,,1,,1,0.13,1,,1,10.47,2,1205.1,0
24,D,2.73,47.43,1.4792673887,4.63,4.8656017695,2.0159614365,303.98,128.96,3.43,7.1410713952,7.4988674271,5.23,0.2750645383,1793.84,7.19,67.29,637.41,31.136032948,14.620846939,0,2.73,1,1.55,0,4.63,1,4.22,1,2.26,0,303.98,1,,1,3.35,1,,1,,1,15.34,2,1793.84,0
2,D,2.43,33.39,10.94,27.68,4.8656017695,5.84,442.57,113,55.24,121.98,97,18.04,0.2750645383,1794.45,13.4,155.88,1646,31.136032948,85.89,0,2.43,0,10.94,0,27.68,1,6.18,0,5.84,0,442.57,0,121.98,0,97,1,0.35,1,12.73,0,85.89,2,1794.45,0
27,D,3.18,39.04,10.77,39.75,11.21,4.37,33.771419926,120.23,52.23,108.39,71.95,21.66,2.37,,10.7,86.65,1732.97,31.136032948,41.59,0,3.18,0,10.77,0,39.75,0,11.21,0,4.37,1,26.9,0,108.39,0,71.95,0,2.37,1,,0,41.59,2,356.3,1
21,D,1.4333054479,53.28,1.4792673887,43.07,7.73,4.78,620.11,189.77,9.05,119.29,33.75,19.62,0.47,942.41,18.21,122.84,1876.02,31.136032948,27.36,1,1.5,1,0.43,0,43.07,0,7.73,0,4.78,0,620.11,0,119.29,0,33.75,0,0.47,1,,0,27.36,2,942.41,0
18,D,1.4333054479,41.53,1.4792673887,6.41,4.8656017695,3.32,33.771419926,144.93,5.17,7.1410713952,7.4988674271,6.01,2.37,686.49,7.03,140.91,697.71,31.136032948,14.620846939,1,,1,0.43,0,6.41,1,2.13,0,3.32,1,29.79,1,,1,8.61,0,2.37,1,,1,1.6,2,686.49,0
3,D,3.91,11.79,7.92,60.9,7.01,9.63,33.771419926,47.19,33.27,122.01,68.01,19.15,0.2750645383,410.73,6.97,31.09,2058.43,31.136032948,184.5,0,3.91,0,7.92,0,60.9,0,7.01,0,9.63,1,18.21,0,122.01,0,68.01,1,0.21,1,,0,184.5,2,410.73,0
4,C,7.58,13.47,16.45,69.73,17.76,20.91,70.31,41.07,47.32,220.43,115.36,21.03,4.98,1041.31,6.77,49.45,2436.06,31.136032948,110.2,0,7.58,0,16.45,0,69.73,0,17.76,0,20.91,0,70.31,0,220.43,0,115.36,0,4.98,1,,0,110.2,3,1041.31,0
22,C,1.4333054479,46.11,1.4792673887,20.86,4.8656017695,2.0159614365,363.68,78.61,5.17,28.26,7.4988674271,9.16,0.2750645383,400.74,13.73,80.54,1157.16,31.136032948,49.82,1,,1,,0,20.86,1,2.5,1,1.25,0,363.68,0,28.26,1,7.72,1,0.13,1,,0,49.82,3,400.74,0
5,C,1.4333054479,56.07,4.77,55.55,18.98,8.47,376.27,219.48,34.51,162.62,89.46,16.32,2.27,708.48,10.7,214.75,1650.97,31.136032948,95.21,1,1.65,0,4.77,0,55.55,0,18.98,0,8.47,0,376.27,0,162.62,0,89.46,0,2.27,1,18.84,0,95.21,3,708.48,0
14,C,32.72,19.35,5.82,122.94,37.99,84.35,327.37,37.55,46.76,560.51,254.78,36.64,0.2750645383,1387.6,12.22,100.34,3221.84,74.87,760.84,0,32.72,0,5.82,0,122.94,0,37.99,0,84.35,0,327.37,0,560.51,0,254.78,1,,0,74.87,0,760.84,3,1387.6,0
28,C,2.43,66.7,1.4792673887,22.91,4.8656017695,2.0159614365,91.49,223.66,6.67,33.89,7.4988674271,9.37,1.68,356.3,9.81,84.91,1313.01,31.136032948,14.620846939,0,2.43,1,0.72,0,22.91,1,1.81,1,1.59,0,91.49,0,33.89,1,9.47,0,1.68,1,,1,17.77,3,356.3,0
12,C,1.4333054479,48.94,1.4792673887,31.09,4.8656017695,4.78,471.47,153.55,9.95,50.62,17.45,7.4,5.21,762.73,15.58,59.24,1417.89,31.136032948,98.65,1,1.5,1,1,0,31.09,1,5.44,0,4.78,0,471.47,0,50.62,0,17.45,0,5.21,1,,0,98.65,3,762.73,0
15,C,2.73,31.81,6.18,21.85,4.8656017695,15.92,572.1,59.25,45.94,135.58,40.86,13.19,5.09,1318.05,11.81,57.68,1272.53,31.136032948,141.12,0,2.73,0,6.18,0,21.85,1,6.24,0,15.92,0,572.1,0,135.58,0,40.86,0,5.09,1,,0,141.12,3,1318.05,0
29,C,14.84,45.84,34.07,140.34,33.18,13.46,290.53,112.03,69.8,686.61,368.62,39.03,3.17,518.66,11.91,151.64,3003.99,172.49,388.32,0,14.84,0,34.07,0,140.34,0,33.18,0,13.46,0,290.53,0,686.61,0,368.62,0,3.17,0,172.49,0,388.32,3,518.66,0
25,C,1.4333054479,33.36,1.4792673887,4.36,4.8656017695,5.27,767.23,196.93,5.79,86.51,7.4988674271,15.52,0.2750645383,1076.91,13.58,143.01,782.95,31.136032948,14.620846939,1,,1,1,0,4.36,1,2.16,0,5.27,0,767.23,0,86.51,1,,1,,1,,1,1.6,3,1076.91,0
13,C,1.4333054479,27.07,1.4792673887,39.43,4.8656017695,10.64,129.37,52.3,19.49,56.19,31.96,7.97,0.2750645383,693.81,4.73,60.59,1589.65,31.136032948,208.34,1,0.19,1,1.55,0,39.43,1,5.46,0,10.64,0,129.37,0,56.19,0,31.96,1,,1,,0,208.34,3,693.81,0
9,C,1.4333054479,62,1.4792673887,16.58,4.8656017695,2.0159614365,33.771419926,65.73,6.91,16.88,7.4988674271,4.99,0.2750645383,730.21,3.49,86.14,1157.16,31.136032948,14.620846939,1,,1,,0,16.58,1,1.99,1,1.59,1,,0,16.88,1,,1,,1,,1,15.35,3,730.21,0
8,C,1.4333054479,38.16,5.28,22.24,29.46,10.64,416.17,143.31,7.86,47.85,105.96,15.61,4.42,,12.61,93.33,1219.46,31.136032948,148.03,1,,0,5.28,0,22.24,0,29.46,0,10.64,0,416.17,0,47.85,0,105.96,0,4.42,1,15.77,0,148.03,3,547.82,1
6,C,3.02,33.73,14.61,105.18,30.33,16.25,58.76,77.56,56.21,439.6,277.33,32.4,0.2750645383,59.34,12.14,98.48,2891.8,64.09,459.85,0,3.02,0,14.61,0,105.18,0,30.33,0,16.25,0,58.76,0,439.6,0,277.33,1,,0,64.09,0,459.85,3,59.34,0
11,C,7.26,14.7,10.94,45.43,11.55,25.11,613.6,28.2,38.35,161.05,77.89,15.79,1.94,745.5,7.1,41.71,1970.85,31.136032948,127.32,0,7.26,0,10.94,0,45.43,0,11.55,0,25.11,0,613.6,0,161.05,0,77.89,0,1.94,1,,0,127.32,3,745.5,0
1,C,1.4333054479,45.85,1.4792673887,15.86,4.8656017695,3.32,205.78,93.6,4.92,18.33,7.4988674271,4.75,0.2750645383,617.83,11.86,109.15,999.89,31.136032948,14.620846939,1,0.19,1,0.72,0,15.86,1,1.91,0,3.32,0,205.78,0,18.33,1,3.35,1,0.13,1,,1,5.53,3,617.83,0
10,C,1.4333054479,52.89,1.4792673887,23.6,4.8656017695,3.32,64.55,165.1,7.86,7.1410713952,24.29,8.3,0.2750645383,59.34,9.71,80.32,1372.32,31.136032948,125.13,1,0.85,1,1.29,0,23.6,1,2.5,0,3.32,0,64.55,1,8.26,0,24.29,1,0.06,1,,0,125.13,3,59.34,0
23,C,6.19,38.16,12.33,105.52,16.08,18.89,370.79,94.96,45.35,376.18,199.88,19.4,0.2750645383,452.94,9.9,75.73,2698.42,71.96,319.99,0,6.19,0,12.33,0,105.52,0,16.08,0,18.89,0,370.79,0,376.18,0,199.88,1,,0,71.96,0,319.99,3,452.94,0
16,C,1.4333054479,42.01,2.48,33.95,17.02,2.0159614365,33.771419926,248.47,26.57,1575.47,52.6,13.14,3.1,173.83,11.44,79.03,1676.01,31.136032948,40.4,1,,0,2.48,0,33.95,0,17.02,1,1.59,1,41.38,0,1575.47,0,52.6,0,3.1,1,,0,40.4,3,173.83,0
20,C,1.4333054479,30.05,1.4792673887,40.33,9.91,2.0159614365,466.07,229.37,8.69,115.21,188.67,17.45,0.2750645383,908.79,21.01,109.36,1779.37,31.136032948,14.620846939,1,1.51,1,1,0,40.33,0,9.91,1,,0,466.07,0,115.21,0,188.67,1,,1,6.07,1,15.34,3,908.79,0
7,C,7.02,36.37,8.7,103.16,23.91,9.63,2376.81,117.9,44.88,299.15,423.85,21.85,1.59,547.82,19.85,107.44,2365.78,31.136032948,111.35,0,7.02,0,8.7,0,103.16,0,23.91,0,9.63,0,2376.81,0,299.15,0,423.85,0,1.59,1,42.72,0,111.35,3,547.82,0
17,C,1.4333054479,36.13,1.4792673887,28.87,4.8656017695,2.0159614365,375,328.67,6.67,67.24,38,9.58,0.2750645383,253.24,19.66,52.44,1476.81,31.136032948,99.83,1,,1,1.57,0,28.87,1,4.22,1,2.26,0,375,0,67.24,0,38,1,,1,,0,99.83,3,253.24,0
19,D,6.04,41.65,11.97,38.25,17.77,12.56,462.14,367.13,47.99,138.28,157.62,45.47,14.85,1412.35,16.67,114.01,1717.19,31.136032948,115.95,0,6.04,0,11.97,0,38.25,0,17.77,0,12.56,0,462.14,0,138.28,0,157.62,0,14.85,1,,0,115.95,3,1412.35,0
26,D,1.4333054479,34.57,1.4792673887,3.031366776,4.8656017695,2.0159614365,289.48,78.54,3.51,7.1410713952,7.4988674271,3.34,0.2750645383,1205.1,5.41,42.87,429.91,31.136032948,14.620846939,1,0.53,1,1.14,1,2.56,1,3.44,1,2.26,0,289.48,1,,1,,1,0.13,1,,1,10.47,3,1205.1,0
24,D,2.73,47.43,1.4792673887,4.63,4.8656017695,2.0159614365,303.98,128.96,3.43,7.1410713952,7.4988674271,5.23,0.2750645383,1793.84,7.19,67.29,637.41,31.136032948,14.620846939,0,2.73,1,1.55,0,4.63,1,4.22,1,2.26,0,303.98,1,,1,3.35,1,,1,,1,15.34,3,1793.84,0
2,D,2.43,33.39,10.94,27.68,4.8656017695,5.84,442.57,113,55.24,121.98,97,18.04,0.2750645383,1794.45,13.4,155.88,1646,31.136032948,85.89,0,2.43,0,10.94,0,27.68,1,6.18,0,5.84,0,442.57,0,121.98,0,97,1,0.35,1,12.73,0,85.89,3,1794.45,0
